[[1453 832 3725 3679 3434 2095 443 3068 2975 1834 3057 3716 1185 2349 3849 3677 4091 2500 2121 3479 2168 2297 431 2848 1361 9 173 997 3832 350 3634 739 3705 3919 3016 3568 2300 1781 1869 2083 1396 528 2956 655 3977 3938 813 531 3404 1323 1918 1137 1431 3336 2290 2 2315 2083 1000 3992 730 2585 371 3064 737 323 2928 1781 30 1546 2774 1153 1998 3617 1020 2417 3875 2199 2552 1945 518 3352 2470 1347 1740 1779 2327 3164 2220 600 448 257 2471 3747 480 2763 2976 3945 1776 105 74 750 1843 785 29 3910 1816 2352 2374 2606 1728 2382 3883 142 2441 2868 317 2368 500 3306]
[3705 548 2910 4012 3401 3850 1975 1003 1345 2345 3232 3857 1864 791 922 850 2440 3871 205 2440 279 593 2041 1630 2702 818 3843 3386 2681 635 1976 4017 3423 2404 3876 3325 3626 2386 3317 139 236 1721 1989 438 3972 1666 338 1058 3532 663 3287 3237 71 3588 576 261 2947 3258 1768 871 409 912 1299 2584 862 3691 105 3581 242 1734 3296 2554 1777 1668 2099 101 1543 169 2836 1135 2543 1451 2924 936 2089 2978 1928 2506 546 1033 440 3587 3252 2088 1484 3677 1688 1905 1106 3743 3867 170 3753 2470 687 1671 2999 3610 1379 3617 2036 3926 1843 2263 3998 3034 349 2023 1083 1863]
[2038 3083 2968 889 2807 1949 1937 626 2431 1895 3145 782 1100 3154 2208 68 2375 1192 2502 23 456 2395 698 2617 1392 545 1154 2765 3241 1108 1084 1281 1339 2048 3426 117 2231 3657 1173 2723 3653 2810 533 1464 2083 350 1775 4009 551 2533 700 1655 389 2074 1988 2385 344 2683 3056 1415 574 256 2321 3870 1630 2168 1846 2417 1353 3219 1109 1484 205 2154 698 2440 172 3217 1555 616 1173 2967 2813 1428 2434 1891 3562 3480 3334 2657 2986 2537 1645 2396 863 2279 1906 1763 3036 2746 396 804 3467 4042 2194 1061 2839 3423 3325 2014 1226 3023 2627 2475 273 2921 347 3036 4039 2663]
[707 2071 1379 735 591 3707 3202 567 2481 1467 3764 1938 2436 888 3217 963 2395 3740 1161 2407 2927 2966 1587 1522 2366 3417 4020 1114 239 177 190 337 1645 3464 2071 4003 2023 33 418 2798 2424 3311 385 2438 3006 275 3935 2393 3991 704 3507 2352 3460 2799 2343 2592 2966 3876 821 1790 1513 2895 1327 1257 3662 1201 3357 712 1412 1890 650 862 3334 1346 3784 3461 3840 948 538 679 2138 879 3509 3030 280 2148 2864 2823 343 283 1857 1069 3289 2543 197 991 1302 2718 1819 3614 3583 687 3439 2887 3551 4045 1661 2451 747 455 3724 280 720 3584 948 2368 3062 2709 1727 1889]
[145 846 3176 1181 3757 1457 2051 3896 2344 1873 2052 2896 1310 1759 537 1227 1603 187 1547 2463 486 3222 3386 527 586 2528 4090 990 1045 152 1876 2035 1561 1135 2131 3768 4033 555 1335 3044 1606 1248 635 3399 1350 3321 2295 3261 3680 1240 2304 806 383 2191 2232 2366 2821 331 832 1675 2069 1122 1366 1862 1196 3845 2973 1356 1735 2375 1953 2037 1694 53 513 85 3549 169 471 889 3715 1244 2247 3853 2939 707 878 1316 200 125 1068 498 412 1393 2700 2760 2246 2520 3642 3218 1185 2977 827 444 660 2836 1601 3886 440 162 3604 1496 340 547 3370 703 3218 1551 448 1925]
[2088 3336 2496 453 1 1933 801 2356 2299 1388 4003 2859 1078 1822 1101 3143 552 3679 4070 304 2209 3081 3375 2743 3244 1707 3951 4002 924 2002 509 1270 1971 3485 2166 3404 1208 343 1527 2779 279 2888 1284 3358 3471 2077 4040 3769 664 3847 602 2363 487 263 2881 3872 2484 888 2178 3340 1707 871 764 945 1885 1550 3343 3764 533 1210 694 4082 96 767 2216 3609 1265 3716 1306 1230 332 2508 3487 246 1413 2214 2552 353 3055 3824 826 3032 3832 3906 3509 3341 3064 2660 3151 1010 293 1547 864 4058 770 3814 1024 4032 993 3454 1663 3404 526 845 3875 1452 1044 2084 2731 231]
[2578 2635 3185 1716 3288 1020 925 3859 3367 3510 877 3580 3523 3881 1804 3238 752 604 314 1503 1463 1213 3214 2127 967 1355 3203 3440 1369 2229 2283 1776 2416 1704 415 3458 2088 313 2134 2779 2504 1245 1672 2369 2070 2309 820 3691 50 675 3736 836 2244 3843 1867 1005 2144 3692 2597 184 2574 460 3182 2386 3410 205 3926 1952 1031 2822 2317 2831 3663 131 4038 128 2063 1989 2109 3644 50 3431 3937 2305 2638 3783 2868 1448 924 2190 2762 2963 3623 4082 1296 3924 3188 1479 148 3191 3782 3999 2285 524 2916 73 3460 3368 247 2169 3073 845 3644 3944 2780 2412 108 742 4032 863]
[3031 2184 1717 2852 1457 1813 2043 3603 3122 3757 1747 3246 1014 1340 2977 2493 956 962 2908 373 426 2200 2327 1492 3163 394 1604 517 691 45 3127 2897 3152 3798 2336 1251 174 2660 297 2310 747 1499 2577 2894 2157 3494 1009 897 779 2836 3688 3781 3227 3254 1888 1163 3250 4091 1189 1188 828 3768 835 1773 1359 1010 1946 2151 1765 908 3303 3057 1651 3823 685 2739 2323 3977 2500 63 3214 729 378 2265 64 3330 1573 963 2521 2735 3993 271 461 3439 2467 2779 3866 332 1174 2164 3376 2635 3061 909 1734 3588 542 1303 2245 236 3009 904 1824 2791 2260 568 535 274 477 1404]
[3464 2063 2591 2930 914 3689 821 319 441 522 168 1240 1458 53 2867 3748 435 1373 3209 3494 2222 3051 3014 702 756 2877 1802 2353 1470 2868 1783 2142 3537 266 3682 3147 56 1384 3384 2533 3408 3089 225 1101 3251 44 125 1191 3133 4015 2680 3695 1680 3537 79 2431 1443 1081 1638 2743 2260 2383 485 641 2824 3274 3593 3143 3389 1132 1476 3455 2462 818 1461 592 2927 1739 3907 4063 3313 3159 2025 3101 2495 2668 2111 3860 2270 1898 1143 2001 3447 3401 1388 3373 2592 1236 3149 4034 1810 3095 1987 2463 2191 272 1469 1115 1910 960 2540 1737 246 24 1555 1868 2515 281 1507 943]
[3292 8 2187 910 251 694 932 3480 1708 2620 1581 3782 1445 1735 269 483 1976 2584 3423 2510 3589 2078 1722 2239 2239 1895 1910 3992 1350 2016 1172 3490 3405 3336 2492 2945 2912 1812 766 3973 2311 279 152 108 3523 2707 171 3222 3394 3031 1369 3090 2563 3570 1481 2982 3646 609 974 1491 366 1276 71 1772 3253 2524 212 361 3163 107 3936 2693 935 3766 3320 378 3225 1918 3362 1049 2426 2809 1657 1459 95 441 319 705 2149 2291 854 1967 855 212 3822 1683 908 4015 2515 985 538 2226 602 2783 2650 3713 2667 2972 3131 573 3298 1537 845 3011 1172 2021 13 1988 2237 3820]
[152 2587 561 3128 2871 1429 3304 1903 2830 4020 1468 3156 3152 617 2430 1056 597 1526 1683 1976 3297 911 2075 3965 2902 1388 507 1240 1142 996 3092 2380 3111 146 2403 289 960 1372 1041 2626 1809 622 916 1397 2186 2984 1786 3786 692 3077 3094 3351 1489 2153 3924 1391 1256 1645 2834 1360 1248 1234 278 3413 2495 2025 2009 2323 3134 733 3030 511 1879 1839 3226 3371 178 560 2764 184 1118 925 3342 447 2432 1367 618 3065 1394 3391 483 186 3066 3312 2475 3378 322 1569 130 3541 4062 4017 1980 2729 4056 2086 626 3468 3581 1 619 1087 1520 1843 754 436 2309 1802 3094 1593]
[3966 3815 3901 2418 2484 2863 1275 3065 3931 3341 3728 3318 2745 3054 1846 2427 1929 541 2885 3727 2631 970 1592 2196 3707 344 1138 2093 3899 828 3902 1353 2878 139 1325 3867 3518 3931 2804 3198 1869 1203 663 2420 1084 3705 492 1911 4 305 3293 52 180 2476 698 1982 1136 2108 2001 165 77 585 2040 3062 3693 2364 1604 3446 2644 349 3065 2358 3845 231 2245 253 3778 3273 2949 1018 1050 2499 974 3605 1530 365 718 273 3183 2944 1275 3423 3924 2048 2496 3944 1366 3577 2362 1850 2951 3753 2007 3772 1085 1375 2305 3019 1563 89 3446 3079 1345 279 3513 782 2961 40 1282 3567]
[305 1253 1662 265 983 925 819 2665 450 2676 122 1509 3583 2443 2609 1073 3537 2576 2493 4028 300 3244 798 3325 2922 3838 2582 3524 319 286 3133 3486 3585 846 1803 2029 1181 3080 759 1137 1151 3762 3334 2455 2830 2195 3592 2297 2188 1855 1978 331 74 1166 621 536 2454 2215 1027 2663 424 4012 277 3965 1052 2923 3575 1975 3390 236 3149 2307 1752 2241 3145 390 3254 1364 2104 4051 1783 3068 696 1515 1266 1580 3585 3672 2821 120 1255 3516 3060 853 3486 2428 3032 2123 997 3386 1873 3566 3659 968 3461 2002 2839 3097 473 2827 2061 1947 2662 4091 1662 630 2204 3420 922 2763]
